language	concept	value
Jinghpo	river	hka
Lahu Shi	river	lɔ31 kA35
Lahu Na	river	la zhid xeul
Zaozou	river	kho~ 31 kho~ 31
Jinuo	river	a khɹo
Naxi	river	ndzi33
Zaiwa	river	vui 21 mo 55
Mandarin	road	lu4
Nasu	road	jo_ 21 mo_ 21
Lisu	road	dʒa 44 gu 44
Baihong	road	ga31 ma55
Hani	road	gal ma
Nosu	road	gga
Samei	road	go
Nisu	road	dʐo 21 mo 21
Biyue	road	ja55 mo33
Kucong	road	la qɔ
Nusu	road	tɕi pu
Jinghpo	road	lam
Lahu Shi	road	zA 21 qɔ33
Lahu Na	road	yie* qaw
Zaozou	road	khou 33 mɔ 35
Jinuo	road	ja kho
Naxi	road	ʐɯ33 ŋgv.33
Zaiwa	road	khjo 51
Mandarin	roof	wu ding13
Nasu	roof	-
Lisu	roof	-
Baihong	roof	-
Hani	roof	-
Nosu	roof	yiiqix
Samei	roof	ŋә phɔ sɔ
Nisu	roof	-
Biyue	roof	-
Kucong	roof	khɔ bɔ
Nusu	roof	jɔ khɯ mɯ
Jinghpo	roof	numgo
Lahu Shi	roof	-
Lahu Na	roof	yiel qhod
Zaozou	roof	-
Jinuo	roof	kho lo
Naxi	roof	ji gʊ
Zaiwa	roof	-
Mandarin	root	gen1
Nasu	root	tɕe 21
Lisu	root	e 55 tʃe 44
Baihong	root	a55 tɕi31
Hani	root	daoq qil
Nosu	root	njip
Samei	root	ʂɨ khә be
Nisu	root	pɛ_ 21
Biyue	root	o31 dzɤ55
Kucong	root	çә ci
Nusu	root	dʐɨ
Jinghpo	root	pot
Lahu Shi	root	ɔ31 tɕhi55 ku53
Lahu Na	root	awl geu
Zaozou	root	tɯ 55 ka~ 31
Jinuo	root	a phu
Naxi	root	khɯ33
Zaiwa	root	a 21 pu_n 51
Mandarin	rope	shen2
Nasu	rope	tʂa_ 21
Lisu	rope	po 44 tʃua 44
Baihong	rope	a55 dza31
Hani	rope	al cav
Nosu	rope	jiebop
Samei	rope	dzɔ ʂɨ (same as thread)
Nisu	rope	tɕi_ɛ_ 33
Biyue	rope	dɤ31 dzɔ33
Kucong	rope	a ja
Nusu	rope	hju~ brә
Jinghpo	rope	sumri
Lahu Shi	rope	A33 tsA35 khɛ33
Lahu Na	rope	aq ja* khie
Zaozou	rope	ʑa 35 tɕio 55
Jinuo	rope	a phi
Naxi	rope	jæ~
Zaiwa	rope	tu_i 21
Mandarin	rotten	fu lan34
Nasu	rotten	tʂhɨ 55
Lisu	rotten	tʃhɨ 31 ʒe 33
Baihong	rotten	bʊ31
Hani	rotten	buvq geel buvq leiv
Nosu	rotten	chypjjip
Samei	rotten	tɕɔ; f. tʂɨ
Nisu	rotten	nɛ_ 33
Biyue	rotten	bje31
Kucong	rotten	gɯ nu
Nusu	rotten	bɔ
Jinghpo	rotten	yat
Lahu Shi	rotten	nɛ54
Lahu Na	rotten	keud nul
Zaozou	rotten	phiæ 31
Jinuo	rotten	a ɬe (ɬæ)
Naxi	rotten	tʂhәr33
Zaiwa	rotten	pup 21
Mandarin	round	yan2
Nasu	round	vɚ 21
Lisu	round	lu 55 lu 55 za 31
Baihong	round	tɤ31 lɯ55 lɯ55 e
Hani	round	hhao'laonei
Nosu	round	volecyp
Samei	round	wә
Nisu	round	lɤ 21
Biyue	round	lo55
Kucong	round	a wo lo
Nusu	round	wi
Jinghpo	round	din
Lahu Shi	round	lɛ35 lA33
Lahu Na	round	vaw ie*
Zaozou	round	la 31 lue~ 35
Jinuo	round	a la
Naxi	round	lœ lœ
Zaiwa	round	liŋ 55
Mandarin	run	pao3
Nasu	run	ʑi 55
Lisu	run	tɯ 35
Baihong	run	ge31
Hani	run	xeiv
Nosu	run	bot
Samei	run	lә
Nisu	run	pi_ 33
Biyue	run	dzo31
Kucong	run	ʝi
Nusu	run	tsɔ
Jinghpo	run	gat
Lahu Shi	run	to55 tɕi55
Lahu Na	run	xeud
Zaozou	run	ta 55
Jinuo	run	thɒ
Naxi	run	njә31
Zaiwa	run	tin 51
Mandarin	salt	yan2
Nasu	salt	tsho 33
Lisu	salt	tsha 42 bo 44
Baihong	salt	dza31 dɤ31?
Hani	salt	caq devq
Nosu	salt	ce
Samei	salt	tsa
Nisu	salt	tʂho 33
Biyue	salt	dzɔ31 mje31
Kucong	salt	ca
Nusu	salt	tso
Jinghpo	salt	jum
Lahu Shi	salt	A33 lɛ31
Lahu Na	salt	aq lier
Zaozou	salt	tshou 31
Jinuo	salt	tsha kha (~kho??)
Naxi	salt	tshe33
Zaiwa	salt	i 55 tʃum 21
Mandarin	salty	xian2
Nasu	salty	khɔ 33
Lisu	salty	khua 31
Baihong	salty	xa31 (same as bitter)
Hani	salty	haq
Nosu	salty	-
Samei	salty	tsa khɔ (tsa = salt)
Nisu	salty	khA 33
Biyue	salty	kɔ31
Kucong	salty	kha
Nusu	salty	kha
Jinghpo	salty	shum
Lahu Shi	salty	qhA53
Lahu Na	salty	qhad
Zaozou	salty	khɔ 31
Jinuo	salty	a mja
Naxi	salty	-
Zaiwa	salty	kho 21
Mandarin	scratch	zhua1
Nasu	scratch	tɕho_ 21
Lisu	scratch	tʃhe 35
Baihong	scratch	pja31
Hani	scratch	piav
Nosu	scratch	yu
Samei	scratch	dzwɔ
Nisu	scratch	tʂA_ 33
Biyue	scratch	pe33
Kucong	scratch	ga
Nusu	scratch	hɤ
Jinghpo	scratch	magra
Lahu Shi	scratch	gA54
Lahu Na	scratch	gat
Zaozou	scratch	kɔ 44
Jinuo	scratch	tshu
Naxi	scratch	zɯ
Zaiwa	scratch	kji_n 51
Mandarin	see	kan jian44
Nasu	see	ŋɔ 21
Lisu	see	mo 33
Baihong	see	mɔ55
Hani	see	hu mol
Nosu	see	wepmo
Samei	see	nu u
Nisu	see	ŋA 21
Biyue	see	mo53
Kucong	see	ŋo mo
Nusu	see	ʐɔ (ʐa?)
Jinghpo	see	mu
Lahu Shi	see	mɔ31
Lahu Na	see	ni mawl
Zaozou	see	ŋa 33
Jinuo	see	te mjɒ
Naxi	see	ly31 ndo31
Zaiwa	see	mjaŋ 51
Mandarin	seed	zhong zi30
Nasu	seed	ʂɨ 55 mo 21
Lisu	seed	e 55 ʃɨ 55
Baihong	seed	a55 zɨ (ʐɨ?)31
Hani	seed	al ssyuq
Nosu	seed	lyp
Samei	seed	-
Nisu	seed	ʂɨ 21
Biyue	seed	a31 dʒɨ33
Kucong	seed	a jo
Nusu	seed	ɕi
Jinghpo	seed	li
Lahu Shi	seed	ɔ31 zɨ53
Lahu Na	seed	awl yawd xeu* qha*
Zaozou	seed	ʑɯ 31 læ 31
Jinuo	seed	a tsɨ a pɔ
Naxi	seed	bɯ
Zaiwa	seed	a 21 mji 21
Mandarin	seed/pit	-
Nasu	seed/pit	ɲi_ 21
Lisu	seed/pit	e 55 ni 35 ma 44
Baihong	seed/pit	-
Hani	seed/pit	-
Nosu	seed/pit	-
Samei	seed/pit	-
Nisu	seed/pit	kA 55
Biyue	seed/pit	a31 ne33 a31 dʒɨ33
Kucong	seed/pit	-
Nusu	seed/pit	-
Jinghpo	seed/pit	-
Lahu Shi	seed/pit	ɔ31 u53 ku33
Lahu Na	seed/pit	-
Zaozou	seed/pit	tɯ 55 sɨ 35 læ 31
Jinuo	seed/pit	-
Naxi	seed/pit	-
Zaiwa	seed/pit	a 21 tʃi 55
Mandarin	sell	mai4
Nasu	sell	vu 55
Lisu	sell	vu 31
Baihong	sell	woŋ (ɣoŋ)31
Hani	sell	aoq
Nosu	sell	vup
Samei	sell	vә
Nisu	sell	ɣo 21
Biyue	sell	o31
Kucong	sell	xo
Nusu	sell	ŋu
Jinghpo	sell	dut
Lahu Shi	sell	xɔ~53
Lahu Na	sell	hawd
Zaozou	sell	ʔo 31
Jinuo	sell	ko
Naxi	sell	tɕhi33
Zaiwa	sell	uŋ 21
Mandarin	seven	qi1
Nasu	seven	ɕi 55
Lisu	seven	ʃɨ 31
Baihong	seven	sɨ31
Hani	seven	siivq
Nosu	seven	shyp
Samei	seven	ʂyr
Nisu	seven	ʂɨ 21
Biyue	seven	ʃɨ31
Kucong	seven	çәr (çɚ?)
Nusu	seven	hna
Jinghpo	seven	sanit
Lahu Shi	seven	sɨ31
Lahu Na	seven	sif
Zaozou	seven	ne 44
Jinuo	seven	ɕi
Naxi	seven	ʂәr33
Zaiwa	seven	ɲi_t 55
Mandarin	sew	feng ren24
Nasu	sew	jɯ_ 55
Lisu	sew	dʒi 31
Baihong	sew	gʊ31
Hani	sew	guvq
Nosu	sew	vitggut ggatcha
Samei	sew	gәur
Nisu	sew	dʐɨ_ 21
Biyue	sew	gv.31
Kucong	sew	næ ɟu
Nusu	sew	tʂa (tʂɔ?)
Jinghpo	sew	chyui
Lahu Shi	sew	gɯ 21
Lahu Na	sew	mawd tawq
Zaozou	sew	khe~ 42
Jinuo	sew	sɨ
Naxi	sew	fv.
Zaiwa	sew	khjup 55
Mandarin	shadow	ying zi30
Nasu	shadow	ʑi_ 21
Lisu	shadow	ɣɯ 33 ŋo 31
Baihong	shadow	a31 ba31 la55 sɤ55
Hani	shadow	aq bal
Nosu	shadow	satyy
Samei	shadow	i sɔ
Nisu	shadow	zɨ_ 33
Biyue	shadow	o31 ko33 lo31 ɲi55
Kucong	shadow	gɯ xa
Nusu	shadow	bjɛ
Jinghpo	shadow	shingna
Lahu Shi	shadow	ɔ31 xA33 li54
Lahu Na	shadow	aq xeur ha
Zaozou	shadow	la 42 lo 33 o~ 33
Jinuo	shadow	a khjɔ
Naxi	shadow	nda33 ga
Zaiwa	shadow	vup 21 tso 21
Mandarin	shallow	qian3
Nasu	shallow	de 21
Lisu	shallow	thɛ 31
Baihong	shallow	de55
Hani	shallow	teiv
Nosu	shallow	ixhmu
Samei	shallow	mɔ ne (not deep)
Nisu	shallow	mA 21 ni_ɛ_ 21
Biyue	shallow	ma31 ne31
Kucong	shallow	a? na
Nusu	shallow	ma tʂu (not deep)
Jinghpo	shallow	tang
Lahu Shi	shallow	mA31 nA35
Lahu Na	shallow	pheu* [pf.?]
Zaozou	shallow	a 31 hæ 33
Jinuo	shallow	i tʃhɔ a ji (water + not + many)
Naxi	shallow	mbe33
Zaiwa	shallow	po_ 55
Mandarin	sharp1	(dao) kuai14
Nasu	sharp1	tha_ 21
Lisu	sharp1	tshɛ 35
Baihong	sharp1	-
Hani	sharp1	-
Nosu	sharp1	-
Samei	sharp1	-
Nisu	sharp1	pi_ɛ_ 21
Biyue	sharp1	ta33
Kucong	sharp1	-
Nusu	sharp1	-
Jinghpo	sharp1	-
Lahu Shi	sharp1	thAŋ55
Lahu Na	sharp1	-
Zaozou	sharp1	ne 35
Jinuo	sharp1	-
Naxi	sharp1	-
Zaiwa	sharp1	tho? 55
Mandarin	sharp2	feng li14
Nasu	sharp2	-
Lisu	sharp2	-
Baihong	sharp2	da55
Hani	sharp2	tav
Nosu	sharp2	tuo
Samei	sharp2	the
Nisu	sharp2	-
Biyue	sharp2	-
Kucong	sharp2	djә tha
Nusu	sharp2	tʊ
Jinghpo	sharp2	nshan
Lahu Shi	sharp2	-
Lahu Na	sharp2	zit jad
Zaozou	sharp2	-
Jinuo	sharp2	ji tha
Naxi	sharp2	gʊ tʂɔ
Zaiwa	sharp2	-
Mandarin	she	ta1
Nasu	she	-
Lisu	she	-
Baihong	she	a31 jo31
Hani	she	aq yoq
Nosu	she	-
Samei	she	u
Nisu	she	-
Biyue	she	-
Kucong	she	jo
Nusu	she	ja
Jinghpo	she	shi
Lahu Shi	she	-
Lahu Na	she	yawd
Zaozou	she	-
Jinuo	she	khә
Naxi	she	-
Zaiwa	she	-
Mandarin	sheep	yang2
Nasu	sheep	tʂhi_ 55 hɔ 21
Lisu	sheep	a 55 tʃhɨ 42
Baihong	sheep	a55 dzɨ31
Hani	sheep	aq civq
Nosu	sheep	chytyo
Samei	sheep	tʂyr
Nisu	sheep	A 55 tshɨ_ 21
Biyue	sheep	tʃɨ_31
Kucong	sheep	ci
Nusu	sheep	tʂә
Jinghpo	sheep	sagu
Lahu Shi	sheep	ʑAŋ31
Lahu Na	sheep	aq cher
Zaozou	sheep	tɕiæ 42
Jinuo	sheep	thɕi pe
Naxi	sheep	jɔ
Zaiwa	sheep	pai 21 nam 55
Mandarin	(egg) shell	ke2
Nasu	(egg) shell	ʈho_ 21 kɤ 33
Lisu	(egg) shell	e 55 fu 44 ko 55 go 42
Baihong	(egg) shell	v.55 xo31
Hani	(egg) shell	al hov
Nosu	(egg) shell	zipddu
Samei	(egg) shell	ʑi f.(ɯ) kɔ
Nisu	(egg) shell	ʑi_ɛ_ fu 21 kɤ_ 33
Biyue	(egg) shell	v.33 ko31
Kucong	(egg) shell	auu
Nusu	(egg) shell	jɔ
Jinghpo	(egg) shell	kop
Lahu Shi	(egg) shell	u~33 gɯ31 ku35
Lahu Na	(egg) shell	quq
Zaozou	(egg) shell	tɯ 55 vu 35 khua~ 42
Jinuo	(egg) shell	a khɔ
Naxi	(egg) shell	kv.55
Zaiwa	(egg) shell	u 55 kja_p 55
Mandarin	shit	shi3
Nasu	shit	ɬi 33
Lisu	shit	khi 31
Baihong	shit	a31 ki31
Hani	shit	xiq
Nosu	shit	qy
Samei	shit	ʂɨr
Nisu	shit	thi 33
Biyue	shit	o31 tɕi31
Kucong	shit	khe
Nusu	shit	tʂi
Jinghpo	shit	hkyi
Lahu Shi	shit	qhɛ53
Lahu Na	shit	qhied
Zaozou	shit	tɕhi 31 pæ~ 33
Jinuo	shit	a khɹi
Naxi	shit	tɕhәr33
Zaiwa	shit	khji 21
Mandarin	shoot	she4
Nasu	shoot	mbhɚ_ 21
Lisu	shoot	bɯ 44
Baihong	shoot	bɤ31
Hani	shoot	bev
Nosu	shoot	nbie
Samei	shoot	-
Nisu	shoot	bɛ_ 33
Biyue	shoot	bɔ33
Kucong	shoot	kha bo
Nusu	shoot	bjɛ
Jinghpo	shoot	gap
Lahu Shi	shoot	bɔ54
Lahu Na	shoot	bawt
Zaozou	shoot	ke~ 35
Jinuo	shoot	pa
Naxi	shoot	kha55
Zaiwa	shoot	pik 21
Mandarin	short (of stature)	ai3
Nasu	short (of stature)	nɚ 21
Lisu	short (of stature)	e~ 44
Baihong	short (of stature)	ɲʊ55
Hani	short (of stature)	biov
Nosu	short (of stature)	-
Samei	short (of stature)	ɯr
Nisu	short (of stature)	di 55
Biyue	short (of stature)	ge33
Kucong	short (of stature)	næ
Nusu	short (of stature)	hjɔ
Jinghpo	short (of stature)	nem
Lahu Shi	short (of stature)	nɛ31
Lahu Na	short (of stature)	niel
Zaozou	short (of stature)	i~ 31
Jinuo	short (of stature)	a me
Naxi	short (of stature)	-
Zaiwa	short (of stature)	ɲu_m 51
Mandarin	short (of length)	duan3
Nasu	short (of length)	ɲɤ 33
Lisu	short (of length)	nio 55
Baihong	short (of length)	ɲu (ni?)55
Hani	short (of length)	niaol
Nosu	short (of length)	ixsho
Samei	short (of length)	dau
Nisu	short (of length)	nɤ 33
Biyue	short (of length)	bi35
Kucong	short (of length)	dɔ
Nusu	short (of length)	dwɔ
Jinghpo	short (of length)	gadun
Lahu Shi	short (of length)	ŋɛ33
Lahu Na	short (of length)	ngie
Zaozou	short (of length)	tyi 42
Jinuo	short (of length)	a ɕɛ
Naxi	short (of length)	ndәr33
Zaiwa	short (of length)	to_t 21
Mandarin	shoulder	jian bang13
Nasu	shoulder	va_ 55 bu 21 mi 33 tɕhi 33
Lisu	shoulder	lɛ 31 phɯ 33
Baihong	shoulder	la31 ba55
Hani	shoulder	bavq tavq
Nosu	shoulder	liexbba
Samei	shoulder	le phe dʐɨ
Nisu	shoulder	lE 21 pho 33
Biyue	shoulder	la31 pv.53
Kucong	shoulder	la phi qæ
Nusu	shoulder	go lo dzo
Jinghpo	shoulder	gahpa
Lahu Shi	shoulder	lA31 phɛ33
Lahu Na	shoulder	lar qaq
Zaozou	shoulder	kɯ 31 pa 35
Jinuo	shoulder	la phu
Naxi	shoulder	la31 kho33 tv.31
Zaiwa	shoulder	koʔ 21 san 51
Mandarin	sick	bing4
Nasu	sick	no 21
Lisu	sick	na 33
Baihong	sick	na55
Hani	sick	al nal
Nosu	sick	na
Samei	sick	nau (no?)
Nisu	sick	no 21
Biyue	sick	na55
Kucong	sick	na
Nusu	sick	nwɔ
Jinghpo	sick	ana
Lahu Shi	sick	nA31
Lahu Na	sick	nal
Zaozou	sick	no 33
Jinuo	sick	nɔ; nɔ nә
Naxi	sick	ŋgu31 tsә
Zaiwa	sick	no 51
Mandarin	silver	yin2
Nasu	silver	ʈhu 33
Lisu	silver	phu 44
Baihong	silver	pʊ55
Hani	silver	piul
Nosu	silver	qu
Samei	silver	-
Nisu	silver	thu 33
Biyue	silver	pv.55
Kucong	silver	phu
Nusu	silver	gi
Jinghpo	silver	gumhpro
Lahu Shi	silver	in 21 zɨ33
Lahu Na	silver	phu
Zaozou	silver	ŋue 33
Jinuo	silver	phɹu tʃhɔ (=possibly for coins only)
Naxi	silver	ŋv.31
Zaiwa	silver	ŋun 51
Mandarin	sing	chang4
Nasu	sing	tʂha_ 55 ko 33
Lisu	sing	mo 31 gua 31 gua 33
Baihong	sing	tsaŋ55
Hani	sing	caf
Nosu	sing	chat
Samei	sing	dy tsɔ (dy = song)
Nisu	sing	ko 33 tʂhA 55
Biyue	sing	dza~55 go55
Kucong	sing	ga mɯ (ga = çong)
Nusu	sing	tsa go = song; tsa go tsa = sing
Jinghpo	sing	mahkon
Lahu Shi	sing	qA33
Lahu Na	sing	qa
Zaozou	sing	tɕi 31 tɕa~ 33
Jinuo	sing	kɹa khja kɹa mɯ
Naxi	sing	ndzәr33
Zaiwa	sing	ma` 21 khon 51 tho 51
Mandarin	sit	zuo4
Nasu	sit	ɲi 21
Lisu	sit	ɲi 44 ta 55
Baihong	sit	dzo31
Hani	sit	jol
Nosu	sit	nyi
Samei	sit	ɲʊ de
Nisu	sit	ni 21
Biyue	sit	ɲi55 dza33
Kucong	sit	mɯ
Nusu	sit	ɲi
Jinghpo	sit	dung
Lahu Shi	sit	mɤ33
Lahu Na	sit	meu
Zaozou	sit	ni 33
Jinuo	sit	tɤ ɲi
Naxi	sit	ndzɯ31
Zaiwa	sit	tsuŋ 51
Mandarin	six	liu4
Nasu	six	tɕho_ 55
Lisu	six	tʃho 42
Baihong	six	gʊ55
Hani	six	kuvq
Nosu	six	fut
Samei	six	khɔ
Nisu	six	tʂhu_ 21
Biyue	six	kv.31
Kucong	six	kho
Nusu	six	tʂʊ
Jinghpo	six	kru
Lahu Shi	six	khɔ 21
Lahu Na	six	khawr
Zaozou	six	kha 42
Jinuo	six	khjɔ
Naxi	six	tʂhua55
Zaiwa	six	khju? 55
Mandarin	skin	pi fu21
Nasu	skin	xo 33 se 33
Lisu	skin	ko 35 dʒi 33
Baihong	skin	sa31 gɯ55
Hani	skin	saqgeel
Nosu	skin	njyxshe
Samei	skin	hɔ gɯ
Nisu	skin	dzɨ phiɛ 21
Biyue	skin	o31 dʑi55
Kucong	skin	çja gɯ (=roupi)
Nusu	skin	ky ʐi
Jinghpo	skin	hpyi
Lahu Shi	skin	ɔ31 gɯ31 ku35
Lahu Na	skin	awl geul
Zaozou	skin	lo 31 xo 31 ?ua 55
Jinuo	skin	sɒ kho; a kho
Naxi	skin	ɣɯ33 phi31
Zaiwa	skin	ʃo` 21 ku_ 21
Mandarin	sky	tian kong11
Nasu	sky	mu 33 kɔ 33
Lisu	sky	mi 31 ɣo 31
Baihong	sky	ʊ55 ɣoŋ55
Hani	sky	aoq tav laol qaol
Nosu	sky	muvut
Samei	sky	ne phɔ mɔ
Nisu	sky	mu 33 gA 21
Biyue	sky	mi31 tha31
Kucong	sky	mɔ ta
Nusu	sky	mɯ bo
Jinghpo	sky	lamu
Lahu Shi	sky	mo31 phi33
Lahu Na	sky	mud naw qaw
Zaozou	sky	mɯ 33 læ 31
Jinuo	sky	tshɨ na
Naxi	sky	mɯ33
Zaiwa	sky	mau 21 khuŋ 51
Mandarin	sleep	shui jiao44
Nasu	sleep	ʑi_ 55
Lisu	sleep	e 31 ta 55
Baihong	sleep	v.55 dʒa (tɕa?)55
Hani	sleep	yiuvq
Nosu	sleep	itnyigu
Samei	sleep	ʐɨ
Nisu	sleep	zɨ_ 21
Biyue	sleep	ji33 dza33
Kucong	sleep	i
Nusu	sleep	jɔ hmi
Jinghpo	sleep	yup
Lahu Shi	sleep	zɨ31
Lahu Na	sleep	rir
Zaozou	sleep	ɲa 42 me 35
Jinuo	sleep	ɪ the
Naxi	sleep	ʑi55
Zaiwa	sleep	jup 55
Mandarin	slow	man4
Nasu	slow	lɤ 21
Lisu	slow	tɛ 31
Baihong	slow	ɔ31 lɔ31 lɔ31
Hani	slow	loyeinei
Nosu	slow	ap nji
Samei	slow	lә lә
Nisu	slow	ʐE 21
Biyue	slow	pi35
Kucong	slow	lu ʝә
Nusu	slow	ɲɔ
Jinghpo	slow	lanyan
Lahu Shi	slow	phi31
Lahu Na	slow	naid
Zaozou	slow	tyi 31
Jinuo	slow	pjɒ
Naxi	slow	hwɔ
Zaiwa	slow	ɲa_m 21
Mandarin	small	xiao3
Nasu	small	ɲo, 33
Lisu	small	ʒo 44
Baihong	small	-
Hani	small	nil
Nosu	small	ietzyr
Samei	small	zɤ
Nisu	small	nE 55
Biyue	small	nɤ55
Kucong	small	i
Nusu	small	dzi
Jinghpo	small	gaji
Lahu Shi	small	ɔ31 nA35 pi53
Lahu Na	small	i
Zaozou	small	ɲæ 33
Jinuo	small	a ni
Naxi	small	tɕi55
Zaiwa	small	ti_ʔ 55
Mandarin	smell, to (vt.)	wen2
Nasu	smell, to (vt.)	be 55 ne 33
Lisu	smell, to (vt.)	tʃhɨ 31 nu 33
Baihong	smell, to (vt.)	sʊ31 nʊ55
Hani	smell, to (vt.)	naqgaq
Nosu	smell, to (vt.)	gge
Samei	smell, to (vt.)	ni
Nisu	smell, to (vt.)	nɤ 21
Biyue	smell, to (vt.)	ni55
Kucong	smell, to (vt.)	nu
Nusu	smell, to (vt.)	ɲjɛ
Jinghpo	smell, to (vt.)	manam
Lahu Shi	smell, to (vt.)	nu31
Lahu Na	smell, to (vt.)	nu*
Zaozou	smell, to (vt.)	nɔ 33
Jinuo	smell, to (vt.)	ne
Naxi	smell, to (vt.)	tʂɨr nv.31
Zaiwa	smell, to (vt.)	nam 51
Mandarin	smile	wei xiao14
Nasu	smile	-
Lisu	smile	-
Baihong	smile	lʊ31 ga55
Hani	smile	eelniq niq
Nosu	smile	yyxsyw
Samei	smile	gә
Nisu	smile	-
Biyue	smile	-
Kucong	smile	ɣɯ
Nusu	smile	ʐe
Jinghpo	smile	sum
Lahu Shi	smile	-
Lahu Na	smile	xeul
Zaozou	smile	-
Jinuo	smile	ɤ
Naxi	smile	ʐa
Zaiwa	smile	-
Mandarin	smoke	yan1
Nasu	smoke	mu 33 khɯ 33
Lisu	smoke	a 55 to 55 mu 31 khu 31
Baihong	smoke	a55 dza31 xwe
Hani	smoke	aq hyuq
Nosu	smoke	mugu
Samei	smoke	ʑi
Nisu	smoke	A 55 khɯ 33
Biyue	smoke	mi31 tɕi31
Kucong	smoke	ʝa
Nusu	smoke	mi khɯ
Jinghpo	smoke	wanhkut
Lahu Shi	smoke	A31 mi31 mo31
Lahu Na	smoke	shuq
Zaozou	smoke	mi 31 khɯ 31
Jinuo	smoke	mi khy (same as fog)
Naxi	smoke	mu55 khɯ31
Zaiwa	smoke	mji 21 khau 21
Mandarin	smooth (of surface)	guang hua12
Nasu	smooth (of surface)	-
Lisu	smooth (of surface)	-
Baihong	smooth (of surface)	-
Hani	smooth (of surface)	julluqnei
Nosu	smooth (of surface)	bbaxyuo
Samei	smooth (of surface)	-
Nisu	smooth (of surface)	-
Biyue	smooth (of surface)	-
Kucong	smooth (of surface)	-
Nusu	smooth (of surface)	khja
Jinghpo	smooth (of surface)	-
Lahu Shi	smooth (of surface)	-
Lahu Na	smooth (of surface)	-
Zaozou	smooth (of surface)	-
Jinuo	smooth (of surface)	-
Naxi	smooth (of surface)	ndy jɔ
Zaiwa	smooth (of surface)	-
Mandarin	snake	she2
Nasu	snake	bu 33 ʂo, 33
Lisu	snake	fu 44
Baihong	snake	ɔ31 lɔ55
Hani	snake	ollol
Nosu	snake	bbushy
Samei	snake	-
Nisu	snake	se 55
Biyue	snake	ɣɤ55 lo55
Kucong	snake	vɯ
Nusu	snake	ʐui
Jinghpo	snake	lapu
Lahu Shi	snake	vɯ31
Lahu Na	snake	veol
Zaozou	snake	ɣɔ~ 35
Jinuo	snake	y
Naxi	snake	ʐɯ31
Zaiwa	snake	la_ŋ 51 mui 51
Mandarin	sneeze	da pen ti314
Nasu	sneeze	a 55 thi 21
Lisu	sneeze	hɛ 35 khi 55
Baihong	sneeze	a55 tɯ31 tɯ31
Hani	sneeze	heilceq ceq
Nosu	sneeze	axciemu (= penti)
Samei	sneeze	-
Nisu	sneeze	A 55 thi 21 thi 21
Biyue	sneeze	-
Kucong	sneeze	a ci mu
Nusu	sneeze	tʂœ
Jinghpo	sneeze	gahti
Lahu Shi	sneeze	-
Lahu Na	sneeze	haq thid meu*
Zaozou	sneeze	thɯ 31
Jinuo	sneeze	ha thɕi mɯ mә
Naxi	sneeze	a55 thiә33
Zaiwa	sneeze	at 55 tʃho 21 tʃho 21
Mandarin	snot	bi ti24
Nasu	snot	no 55 be 33
Lisu	snot	tshɯ 31 hɯ 31
Baihong	snot	na31 be55
Hani	snot	nalxiq
Nosu	snot	hnapbbit
Samei	snot	ɲi bi
Nisu	snot	nu 55 nu_ 21
Biyue	snot	na55 bi55
Kucong	snot	nuŋ khe
Nusu	snot	hjɛ
Jinghpo	snot	nep
Lahu Shi	snot	nu35 qhɛ53
Lahu Na	snot	nuq qhied
Zaozou	snot	pa 33 ɕyi 35
Jinuo	snot	ne pʊ
Naxi	snot	ɲi55
Zaiwa	snot	na_p 55
Mandarin	soft	ruan3
Nasu	soft	nu 33
Lisu	soft	nu 31
Baihong	soft	nɔ31
Hani	soft	naoq
Nosu	soft	ixnu
Samei	soft	ho
Nisu	soft	nu 33
Biyue	soft	nɤ33
Kucong	soft	a nu ne
Nusu	soft	ɕyә
Jinghpo	soft	kya
Lahu Shi	soft	nu53 nɛ54
Lahu Na	soft	nud
Zaozou	soft	mæ 42
Jinuo	soft	a pɹɯ
Naxi	soft	-
Zaiwa	soft	ɲo_m XX
Mandarin	son	er2 zi3
Nasu	son	zo 33
Lisu	son	za 31
Baihong	son	ja31 jo55
Hani	son	ssaqyo
Nosu	son	sse
Samei	son	zɔ
Nisu	son	ʐo 33
Biyue	son	ja31 jv.33
Kucong	son	ʝa ba
Nusu	son	zwɔ
Jinghpo	son	gasha la sha
Lahu Shi	son	zA53 pA31
Lahu Na	son	yad paf
Zaozou	son	zo 31 ʑa 44
Jinuo	son	zɒ ku
Naxi	son	zo33
Zaiwa	son	juʔ 21 ke 51 tso 21
Mandarin	son-in-law	nü xu30
Nasu	son-in-law	sɯ 55 ɣɯ 21
Lisu	son-in-law	mɛ 55 vu 33
Baihong	son-in-law	a31 ja31
Hani	son-in-law	aq ssaq
Nosu	son-in-law	apmy satvu
Samei	son-in-law	ʐɨ ma sɔ vɯ
Nisu	son-in-law	ʂu_ 21 ʐu_ 33 pho 21
Biyue	son-in-law	ja31 ma31
Kucong	son-in-law	ma
Nusu	son-in-law	ʐwɔ mɔ
Jinghpo	son-in-law	dama
Lahu Shi	son-in-law	mA35 pA31
Lahu Na	son-in-law	awl maq
Zaozou	son-in-law	zo 31 mo 42 ʑa 44
Jinuo	son-in-law	lu khe
Naxi	son-in-law	-
Zaiwa	son-in-law	tso` 21 moʔ 55
Mandarin	song	ge1
Nasu	song	ko 33
Lisu	song	mo 31 gua 31
